Doctor_Name,Speciality,Clinic_Name,Clinic_Address,Clinic_City,Clinic_State,Clinic_Pincode,Doctor_Address,Doctor_City,Doctor_State,Doctor_Pincode
Dr. Rajesh Joshi,Psychiatrist,Joshi Healthcare Clinic,"72, Nagar Hill, Pune",Pune,Maharashtra,411424,"303, Bazaar Rajiv, Pune",Pune,Maharashtra,410488
Dr. Pooja Agarwal,Nephrologist,Agarwal Healthcare Clinic,"288, Layout Hill, Delhi",Delhi,Delhi,116873,"113, Lane Garden, Delhi",Delhi,Delhi,114557
Dr. Sunita Tripathi,ENT Specialist,Tripathi Healthcare Clinic,"80, Layout Central, Jaipur",Jaipur,Rajasthan,301674,"48, Bazaar Gandhi, Jaipur",Jaipur,Rajasthan,305881
Dr. Parveen Pathan,Dermatologist,Pathan Healthcare Clinic,"275, Nagar Fort, Chandigarh",Chandigarh,Chandigarh,161291,"283, Road Garden, Chandigarh",Chandigarh,Chandigarh,165925
Dr. Francis D’Souza,Dermatologist,D’Souza Healthcare Clinic,"149, Nagar Model, Pune",Pune,Maharashtra,411654,"195, Road Lake, Pune",Pune,Maharashtra,415977
Dr. Ramesh Pillai,General Physician,Pillai Healthcare Clinic,"37, Colony Hill, Jaipur",Jaipur,Rajasthan,304010,"84, Lane Fort, Jaipur",Jaipur,Rajasthan,304422
Dr. Francis Lobo,Dermatologist,Lobo Healthcare Clinic,"17, Enclave Fort, Pune",Pune,Maharashtra,414386,"34, Layout Garden, Pune",Pune,Maharashtra,415155
Dr. Deepa Rangan,Ophthalmologist,Rangan Healthcare Clinic,"136, Colony Model, Kolkata",Kolkata,West Bengal,709197,"276, Road Garden, Kolkata",Kolkata,West Bengal,707019
Dr. Paul Lobo,Psychiatrist,Lobo Healthcare Clinic,"261, Lane Gandhi, Kolkata",Kolkata,West Bengal,700771,"441, Nagar Shastri, Kolkata",Kolkata,West Bengal,702621
Dr. Rajinder Kaur,Endocrinologist,Kaur Healthcare Clinic,"240, Road Hill, Patna",Patna,Bihar,800188,"349, Nagar Hill, Patna",Patna,Bihar,804371
Dr. Farah Pathan,Rheumatologist,Pathan Healthcare Clinic,"233, Sector Green, Hyderabad",Hyderabad,Telangana,508201,"391, Colony Hill, Hyderabad",Hyderabad,Telangana,501743
Dr. Khalid Dar,General Physician,Dar Healthcare Clinic,"192, Colony Hill, Kolkata",Kolkata,West Bengal,708689,"471, Sector Garden, Kolkata",Kolkata,West Bengal,705310
Dr. Harpreet Kaur,Urologist,Kaur Healthcare Clinic,"123, Sector Model, Lucknow",Lucknow,Uttar Pradesh,229295,"485, Nagar Gandhi, Lucknow",Lucknow,Uttar Pradesh,227962
Dr. Naveen Saxena,Neurologist,Saxena Healthcare Clinic,"282, Colony Green, Coimbatore",Coimbatore,Tamil Nadu,648645,"447, Bazaar Model, Coimbatore",Coimbatore,Tamil Nadu,648835
Dr. Lakshmi Rangan,Urologist,Rangan Healthcare Clinic,"265, Lane Gandhi, Chandigarh",Chandigarh,Chandigarh,164061,"116, Nagar Central, Chandigarh",Chandigarh,Chandigarh,160344
Dr. Rebecca Carvalho,Gastroenterologist,Carvalho Healthcare Clinic,"4, Nagar Rajiv, Pune",Pune,Maharashtra,413750,"35, Sector Central, Pune",Pune,Maharashtra,411160
Dr. Francis Dias,Pulmonologist,Dias Healthcare Clinic,"277, Colony Garden, Ahmedabad",Ahmedabad,Gujarat,389440,"243, Layout Lake, Ahmedabad",Ahmedabad,Gujarat,386669
Dr. Sneha Nair,Rheumatologist,Nair Healthcare Clinic,"217, Bazaar Lake, Bhopal",Bhopal,Madhya Pradesh,460887,"345, Nagar Rajiv, Bhopal",Bhopal,Madhya Pradesh,466596
Dr. Farah Qureshi,General Physician,Qureshi Healthcare Clinic,"275, Lane Shastri, Ahmedabad",Ahmedabad,Gujarat,386912,"94, Road Lake, Ahmedabad",Ahmedabad,Gujarat,384092
Dr. Divya Dwivedi,Pediatrician,Dwivedi Healthcare Clinic,"277, Sector Gandhi, Mumbai",Mumbai,Maharashtra,403872,"86, Bazaar Lake, Mumbai",Mumbai,Maharashtra,407886
Dr. Suresh Iyer,Gynecologist,Iyer Healthcare Clinic,"2, Bazaar Green, Patna",Patna,Bihar,807454,"147, Bazaar Hill, Patna",Patna,Bihar,807973
Dr. Prakash Naidu,General Physician,Naidu Healthcare Clinic,"297, Sector Central, Mumbai",Mumbai,Maharashtra,400936,"26, Lane Hill, Mumbai",Mumbai,Maharashtra,408701
